par_pctile,kid_race,gender,n_kir,kir
78,White,F,83500,51.880001
78,White,M,87500,63.480003
78,Black,F,6000,52.630001
78,Black,M,6100,51.130001
78,Asian,F,2900,62.900002
78,Asian,M,3000,65.589996
78,Hispanic,F,6800,51.639999
78,Hispanic,M,6900,59.399998
78,AIAN,F,450,43.98
78,AIAN,M,500,53.509998
79,White,F,83500,52.319996
79,White,M,87500,63.82
79,Black,F,5900,53.189999
79,Black,M,5900,51.630001
79,Asian,F,3000,61.889999
79,Asian,M,3100,65.230003
79,Hispanic,F,6800,51.740002
79,Hispanic,M,6800,59.539997
79,AIAN,F,500,46.329998
79,AIAN,M,500,52.049999
80,White,F,84500,52.569996
80,White,M,88000,64.020004
80,Black,F,5700,52.990002
80,Black,M,5700,52.34
80,Asian,F,3000,63.300003
80,Asian,M,3100,65.989998
80,Hispanic,F,6600,52.640003
80,Hispanic,M,6600,60.039997
80,AIAN,F,400,45.260002
80,AIAN,M,500,55.010002
81,White,F,84000,52.91
81,White,M,88000,64.360001
81,Black,F,5800,53.700001
81,Black,M,5800,52.619999
81,Asian,F,3200,62.639999
81,Asian,M,3300,67.510002
81,Hispanic,F,6500,52.130001
81,Hispanic,M,6500,60.600002
81,AIAN,F,400,47.650002
81,AIAN,M,450,53.079998
82,White,F,84500,53.439999
82,White,M,88500,64.630005
82,Black,F,5500,54.170002
82,Black,M,5700,51.77
82,Asian,F,3100,63.57
82,Asian,M,3300,66.900002
82,Hispanic,F,6400,52.649998
82,Hispanic,M,6400,60.639999
82,AIAN,F,400,45.989998
82,AIAN,M,400,52.850002
83,White,F,84500,53.759998
83,White,M,89000,64.900002
83,Black,F,5400,54.34
83,Black,M,5400,53.100002
83,Asian,F,3300,64.090004
83,Asian,M,3300,65.940002
83,Hispanic,F,6200,53.509998
83,Hispanic,M,6300,60.66
83,AIAN,F,400,45.23
83,AIAN,M,450,54.200001
84,White,F,85000,53.98
84,White,M,88500,65.209999
84,Black,F,5200,54.48
84,Black,M,5400,53.780003
84,Asian,F,3300,63.510002
84,Asian,M,3300,67
84,Hispanic,F,6200,53.320004
84,Hispanic,M,6000,61.029999
84,AIAN,F,350,48.559998
84,AIAN,M,400,54.959999
85,White,F,85000,54.290001
85,White,M,89500,65.589996
85,Black,F,5200,55.489998
85,Black,M,5300,53.869999
85,Asian,F,3400,63.950001
85,Asian,M,3500,67.489998
85,Hispanic,F,6100,53.399998
85,Hispanic,M,5900,61.479996
85,AIAN,F,400,45.91
85,AIAN,M,400,52.990002
86,White,F,85000,54.98
86,White,M,89000,65.839996
86,Black,F,5200,55.580002
86,Black,M,5200,54.210003
86,Asian,F,3500,64.080002
86,Asian,M,3600,66.709999
86,Hispanic,F,6000,53.619999
86,Hispanic,M,5800,61.669998
86,AIAN,F,400,47.029999
86,AIAN,M,450,55.559998
87,White,F,85500,55.239998
87,White,M,89000,66.409996
87,Black,F,4900,56.730003
87,Black,M,5200,53.91
87,Asian,F,3500,64.050003
87,Asian,M,3800,68.129997
87,Hispanic,F,5900,53.860004
87,Hispanic,M,5600,61.690002
87,AIAN,F,350,47.860001
87,AIAN,M,350,56.739998
88,White,F,85500,55.620003
88,White,M,89000,66.659996
88,Black,F,4800,56.389999
88,Black,M,4900,54.700001
88,Asian,F,3800,65.760002
88,Asian,M,3800,69.300003
88,Hispanic,F,5500,54.75
88,Hispanic,M,5600,62.709999
88,AIAN,F,350,48.369999
88,AIAN,M,350,56.190002
89,White,F,86000,56.32
89,White,M,90000,67.089996
89,Black,F,4700,57.050003
89,Black,M,4900,55.279999
89,Asian,F,3900,65.520004
89,Asian,M,3800,68.910004
89,Hispanic,F,5400,55.229996
89,Hispanic,M,5200,62.620003
